trials.thisRepN,resp_Q.corr,Participant,Group,targetOnset.rt,FreqBNCSpoken.log
1,0,452163,L2,0.3432329,3.135494216
1,1,672285,L2,0.488689,3.135494216
1,1,922683,L2,0.4994841,3.135494216
0,1,672285,L2,0.4315517,3.135494216
1,1,187490,L2,0.4839702,3.135494216
1,1,331100,L2,0.3454644,3.135494216
0,1,917009,L2,0.4377183,3.135494216
1,1,316397,L2,0.4412219,3.135494216
0,0,69771,L2,0.6935807,3.135494216
1,1,700064,L2,0.3426487,3.135494216
0,0,85913,L2,0.6029362,3.135494216
1,1,216249,L2,0.3599595,3.135494216
0,1,154393,L2,0.4258806,3.135494216
1,1,735448,L2,0.4989645,3.135494216
1,1,959490,L2,0.4521079,3.135494216
0,1,159491,L2,0.6549725,3.135494216
1,1,792988,L2,0.4147977,3.135494216
1,1,843976,L2,0.4304342,3.135494216
0,0,514305,L2,0.5293292,3.135494216
0,0,183117,L2,0.5820268,3.135494216
0,1,922683,L2,0.433911,3.135494216
1,0,964675,L2,0.3811595,3.135494216
0,1,607827,L2,0.6270671,3.135494216
1,0,376188,L2,0.5099227,3.135494216
0,1,697760,L2,1.0307788,3.135494216
0,1,929015,L2,1.1589177,3.135494216
0,1,767065,L2,0.4683601,3.135494216
1,1,648557,L2,0.620638,3.135494216
0,1,702640,L2,0.6593267,3.135494216
0,0,501349,L2,0.651502,3.135494216
1,0,697259,L2,0.4901961,3.135494216
0,0,717501,L2,1.1454989,3.135494216
1,0,586804,L2,0.4643276,3.135494216
1,1,336257,L2,0.5338763,3.135494216
1,0,716031,L2,0.5072701,3.135494216
1,1,147512,L2,0.3933549,3.135494216
1,1,85913,L2,0.7307669,3.135494216
0,1,15711,L2,0.4662037,3.135494216
0,0,336257,L2,0.4369818,3.135494216
0,1,998663,L2,0.3399789,3.135494216
0,0,3121,L2,0.455311,3.135494216
0,0,964675,L2,0.4219948,3.135494216
0,1,373596,L2,0.4609957,3.135494216
1,1,514305,L2,0.3638631,3.135494216
0,0,251621,L2,0.6833858,3.135494216
1,1,3121,L2,0.6310378,3.135494216
0,1,306328,L2,0.6561019,3.135494216
0,1,447513,L2,0.7149872,3.135494216
0,0,248930,L2,-1.3751306,3.135494216
0,1,544005,L2,0.759048,3.135494216
0,1,302458,L2,0.5167263,3.135494216
1,1,173085,L2,0.368249,3.135494216
1,0,501349,L2,0.4276549,3.135494216
1,1,306328,L2,0.5531928,3.135494216
1,1,373596,L2,0.4425985,3.135494216
1,1,871398,L2,0.7058441,3.135494216
0,0,790740,L2,1.0620333,3.135494216
1,1,911462,L2,0.5399095,3.135494216
1,1,929015,L2,1.2014561,3.135494216
1,0,248930,L2,-1.1856651,3.135494216
1,0,251621,L2,0.6955075,3.135494216
1,1,998663,L2,0.354337,3.135494216
0,0,586804,L2,0.8360678,3.135494216
1,1,617211,L2,0.8357969,3.135494216
1,1,544005,L2,0.5130487,3.135494216
1,0,862825,L2,0.4126174,3.135494216
0,1,173085,L2,0.4640441,3.135494216
0,0,108486,L2,0.6595841,3.135494216
0,0,697259,L2,0.5689241,3.135494216
0,1,959490,L2,0.4864437,3.135494216
0,0,752128,L2,0.4560829,3.135494216
0,0,452163,L2,0.4842255,3.135494216
0,1,792988,L2,0.4521669,3.135494216
1,1,631538,L2,0.4029367,3.135494216
1,1,154393,L2,0.4131102,3.135494216
0,1,572187,L2,0.2526407,3.135494216
0,1,700064,L2,0.4776577,3.135494216
0,0,886168,L2,0.9773654,3.135494216
1,1,379265,L2,0.5390922,3.135494216
1,1,302458,L2,0.4457597,3.135494216
0,0,376188,L2,-0.9200338,3.135494216
1,1,752128,L2,0.3729195,3.135494216
1,0,108486,L2,0.8545851,3.135494216
0,1,379265,L2,0.4305535,3.135494216
1,1,159491,L2,0.5079227,3.135494216
1,1,901980,L2,0.5322088,3.135494216
1,1,607827,L2,0.3431173,3.135494216
1,1,697760,L2,0.7131783,3.135494216
1,1,572187,L2,0.2917763,3.135494216
1,1,783049,L2,0.5345457,3.135494216
1,1,702640,L2,0.5149533,3.135494216
1,1,864280,L2,0.3830348,3.135494216
0,1,911462,L2,0.4445156,3.135494216
1,1,15711,L2,0.5262875,3.135494216
0,1,631538,L2,0.4921338,3.135494216
1,1,183117,L2,0.7080655,3.135494216
1,1,717501,L2,0.6736117,3.135494216
0,1,331100,L2,0.7452459,3.135494216
0,1,864280,L2,0.6089901,3.135494216
1,1,767065,L2,0.350964,3.135494216
1,1,886168,L2,0.720698,3.135494216
0,1,648557,L2,0.7239931,3.135494216
0,1,617211,L2,0.6343791,3.135494216
1,0,752128,L2,0.4177781,5.85220248
0,1,183117,L2,0.5571487,5.85220248
0,1,886168,L2,0.4618466,5.85220248
0,1,251621,L2,0.5728656,5.85220248
0,1,964675,L2,0.5962682,5.85220248
1,1,15711,L2,0.4304068,5.85220248
1,1,85913,L2,0.3223247,5.85220248
1,1,964675,L2,0.249387,5.85220248
0,1,697259,L2,0.5350534,5.85220248
1,1,607827,L2,2.0664745,5.85220248
1,1,700064,L2,0.1954837,5.85220248
1,1,501349,L2,0.4406731,5.85220248
0,1,631538,L2,0.536926,5.85220248
1,1,792988,L2,0.3485296,5.85220248
0,1,783049,L2,0.6963594,5.85220248
0,1,447513,L2,0.457128,5.85220248
1,1,183117,L2,0.389279,5.85220248
1,1,69771,L2,0.6963822,5.85220248
0,1,544005,L2,0.4308151,5.85220248
1,0,702640,L2,0.8411941,5.85220248
1,1,251621,L2,0.461684,5.85220248
1,1,216249,L2,0.1846028,5.85220248
0,1,514305,L2,0.4858488,5.85220248
0,0,147512,L2,0.3837863,5.85220248
1,0,316397,L2,0.3320805,5.85220248
1,0,767065,L2,0.3717704,5.85220248
1,0,697760,L2,0.5308145,5.85220248
1,0,886168,L2,0.5304073,5.85220248
1,1,911462,L2,0.4588204,5.85220248
1,1,929015,L2,0.1902959,5.85220248
1,1,447513,L2,0.5397141,5.85220248
1,1,306328,L2,0.4712459,5.85220248
0,1,607827,L2,0.2398799,5.85220248
1,1,672285,L2,0.3209076,5.85220248
1,0,717501,L2,0.5049118,5.85220248
1,1,336257,L2,0.5746342,5.85220248
0,1,901980,L2,0.3802237,5.85220248
0,1,159491,L2,0.3407416,5.85220248
0,0,154393,L2,0.5872104,5.85220248
0,1,767065,L2,0.3935696,5.85220248
1,1,617211,L2,0.7315467,5.85220248
1,1,735448,L2,0.309512,5.85220248
0,1,173085,L2,0.2862665,5.85220248
0,1,15711,L2,0.4036022,5.85220248
1,1,648557,L2,0.5435721,5.85220248
1,1,108486,L2,1.1044036,5.85220248
0,1,752128,L2,0.4034393,5.85220248
0,1,108486,L2,0.3878616,5.85220248
0,1,716031,L2,0.4533691,5.85220248
0,1,929015,L2,0.1211868,5.85220248
1,0,147512,L2,0.1488696,5.85220248
1,0,901980,L2,0.4209021,5.85220248
0,1,586804,L2,0.4097797,5.85220248
1,1,376188,L2,0.9150185,5.85220248
1,1,514305,L2,0.4699615,5.85220248
0,1,843976,L2,0.5554377,5.85220248
0,1,792988,L2,0.3721329,5.85220248
1,1,544005,L2,0.5228689,5.85220248
1,1,862825,L2,0.2936364,5.85220248
0,1,735448,L2,0.3791482,5.85220248
1,1,331100,L2,0.5411113,5.85220248
0,1,216249,L2,0.3703207,5.85220248
0,0,69771,L2,0.3378803,5.85220248
0,1,774770,L2,0.5063148,5.85220248
1,0,154393,L2,0.2783822,5.85220248
1,1,790740,L2,0.4379472,5.85220248
1,1,572187,L2,0.3876958,5.85220248
0,1,862825,L2,0.3265318,5.85220248
0,0,702640,L2,0.5387939,5.85220248
0,1,672285,L2,0.4793789,5.85220248
1,0,716031,L2,0.5618052,5.85220248
0,1,911462,L2,0.4825939,5.85220248
0,1,572187,L2,0.4012599,5.85220248
0,1,306328,L2,0.3759223,5.85220248
1,0,774770,L2,1.228458,5.85220248
1,1,783049,L2,0.3410288,5.85220248
0,1,336257,L2,0.3309966,5.85220248
0,0,717501,L2,0.2680328,5.85220248
1,0,187490,L2,0.3437379,5.85220248
1,1,697259,L2,0.9690317,5.85220248
0,1,922683,L2,0.4943181,5.85220248
0,1,452163,L2,0.3471606,5.85220248
1,1,452163,L2,0.3349476,5.85220248
0,0,187490,L2,0.3620723,5.85220248
0,1,302458,L2,0.6240989,5.85220248
1,1,631538,L2,0.3684329,5.85220248
0,1,998663,L2,0.6334167,5.85220248
1,1,586804,L2,0.3577421,5.85220248
1,1,248930,L2,-0.3643445,5.85220248
1,1,917009,L2,0.5836023,5.85220248
1,1,302458,L2,0.4425667,5.85220248
0,1,85913,L2,0.4116946,5.85220248
1,1,159491,L2,0.2806631,5.85220248
0,1,379265,L2,0.2814909,5.85220248
