Pinyin_T,onset,Pinyin,tone,onset.type,syllable,syllable2,syllable3,syllable4,syllable.type,gap_narrow,gap_broad,token frequency,type frequency,Number of gaps,Probability,PND.C_G_V_C,PND.C_G_V_X,NF.C_G_V_C,NF.C_G_V_X
beng1,b,beng,1,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,4,8,2,0.003106651,21,21,19366.048,19366.048
beng2,b,beng,2,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,N,0,8,2,0.003106651,21,21,19366.048,19366.048
beng3,b,beng,3,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,N,0,8,2,0.003106651,21,21,19366.048,19366.048
beng4,b,beng,4,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,4,8,2,0.003106651,21,21,19366.048,19366.048
bin1,b,bin,1,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,102,103,2,0.017604353,26,24,39313.933,40456.979
bin2,b,bin,2,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,Y,0,103,2,0.017604353,26,24,39313.933,40456.979
bin3,b,bin,3,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,Y,0,103,2,0.017604353,26,24,39313.933,40456.979
bin4,b,bin,4,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,1,103,2,0.017604353,26,24,39313.933,40456.979
cuo1,c,cuo,1,voiceless,CGV,CGV,CGV,CV/CGV,open,N,N,2,625,2,0.048604477,24,22,883398.45,887409.974
cuo2,c,cuo,2,voiceless,CGV,CGV,CGV,CV/CGV,open,Y,N,0,625,2,0.048604477,24,22,883398.45,887409.974
cuo3,c,cuo,3,voiceless,CGV,CGV,CGV,CV/CGV,open,Y,N,0,625,2,0.048604477,24,22,883398.45,887409.974
cuo4,c,cuo,4,voiceless,CGV,CGV,CGV,CV/CGV,open,N,N,623,625,2,0.048604477,24,22,883398.45,887409.974
cui1,c,cui,1,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,N,N,4,68,2,0.014789781,20,16,78130.706,124430.429
cui2,c,cui,2,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,Y,N,0,68,2,0.014789781,20,16,78130.706,124430.429
cui3,c,cui,3,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,Y,N,0,68,2,0.014789781,20,16,78130.706,124430.429
cui4,c,cui,4,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,N,N,64,68,2,0.014789781,20,16,78130.706,124430.429
cuan1,c,cuan,1,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,Y,N,0,2,3,0.000531051,21,20,27090.5,27810.627
cuan2,c,cuan,2,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,Y,N,0,2,3,0.000531051,21,20,27090.5,27810.627
cuan3,c,cuan,3,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,Y,Y,0,2,3,0.000531051,21,20,27090.5,27810.627
cuan4,c,cuan,4,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,2,2,3,0.000531051,21,20,27090.5,27810.627
cun1,c,cun,1,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,52,143,1,0,20,19,4880.125,5111.933
cun2,c,cun,2,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,90,143,1,0,20,19,4880.125,5111.933
cun3,c,cun,3,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,Y,N,0,143,1,0,20,19,4880.125,5111.933
cun4,c,cun,4,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,1,143,1,0,20,19,4880.125,5111.933
ca1,c,ca,1,voiceless,CV,CV,CV,CV/CGV,open,N,N,7,7,3,0.003265966,28,27,212608.56,231747.705
ca2,c,ca,2,voiceless,CV,CV,CV,CV/CGV,open,Y,Y,0,7,3,0.003265966,28,27,212608.56,231747.705
ca3,c,ca,3,voiceless,CV,CV,CV,CV/CGV,open,Y,N,0,7,3,0.003265966,28,27,212608.56,231747.705
ca4,c,ca,4,voiceless,CV,CV,CV,CV/CGV,open,Y,N,0,7,3,0.003265966,28,27,212608.56,231747.705
ce1,c,ce,1,voiceless,CV,CV,CV,CV/CGV,open,Y,Y,0,139,3,0.072754038,26,22,197048.238,233562.706
ce2,c,ce,2,voiceless,CV,CV,CV,CV/CGV,open,Y,Y,0,139,3,0.072754038,26,22,197048.238,233562.706
ce3,c,ce,3,voiceless,CV,CV,CV,CV/CGV,open,Y,Y,0,139,3,0.072754038,26,22,197048.238,233562.706
ce4,c,ce,4,voiceless,CV,CV,CV,CV/CGV,open,N,N,139,139,3,0.072754038,26,22,197048.238,233562.706
ci1,c,ci,1,voiceless,CV,CV,CV,CV/CGV,open,N,N,4,939,0,0.422438089,17,13,115723.433,148464.25
ci2,c,ci,2,voiceless,CV,CV,CV,CV/CGV,open,N,N,43,939,0,0.422438089,17,13,115723.433,148464.25
ci3,c,ci,3,voiceless,CV,CV,CV,CV/CGV,open,N,N,25,939,0,0.422438089,17,13,115723.433,148464.25
ci4,c,ci,4,voiceless,CV,CV,CV,CV/CGV,open,N,N,867,939,0,0.422438089,17,13,115723.433,148464.25
cu1,c,cu,1,voiceless,CV,CV,CV,CV/CGV,open,N,N,13,33,2,0.034120051,31,26,75765.08,83785.5
cu2,c,cu,2,voiceless,CV,CV,CV,CV/CGV,open,Y,N,0,33,2,0.034120051,31,26,75765.08,83785.5
cu3,c,cu,3,voiceless,CV,CV,CV,CV/CGV,open,Y,Y,0,33,2,0.034120051,31,26,75765.08,83785.5
cu4,c,cu,4,voiceless,CV,CV,CV,CV/CGV,open,N,N,20,33,2,0.034120051,31,26,75765.08,83785.5
cai1,c,cai,1,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,23,1200,0,0.26872527,29,26,78934.852,68888.253
cai2,c,cai,2,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,964,1200,0,0.26872527,29,26,78934.852,68888.253
cai3,c,cai,3,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,119,1200,0,0.26872527,29,26,78934.852,68888.253
cai4,c,cai,4,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,94,1200,0,0.26872527,29,26,78934.852,68888.253
cao1,c,cao,1,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,42,65,1,0.036894794,26,23,48132.375,51577.476
cao2,c,cao,2,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,5,65,1,0.036894794,26,23,48132.375,51577.476
cao3,c,cao,3,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,18,65,1,0.036894794,26,23,48132.375,51577.476
cao4,c,cao,4,voiceless,CV,CVG,CVG,CVG/CGVG,open,Y,N,0,65,1,0.036894794,26,23,48132.375,51577.476
cou1,c,cou,1,voiceless,CV,CVG,CVG,CVG/CGVG,open,Y,Y,0,10,3,0.001699364,24,19,143083.391,149841.889
cou2,c,cou,2,voiceless,CV,CVG,CVG,CVG/CGVG,open,Y,Y,0,10,3,0.001699364,24,19,143083.391,149841.889
cou3,c,cou,3,voiceless,CV,CVG,CVG,CVG/CGVG,open,Y,Y,0,10,3,0.001699364,24,19,143083.391,149841.889
cou4,c,cou,4,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,10,10,3,0.001699364,24,19,143083.391,149841.889
can1,c,can,1,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,233,75,1,0.10658201,29,30,23869.191,24777.75
can2,c,can,2,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,10,75,1,0.10658201,29,30,23869.191,24777.75
can3,c,can,3,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,57,75,1,0.10658201,29,30,23869.191,24777.75
can4,c,can,4,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,N,0,75,1,0.10658201,29,30,23869.191,24777.75
cang1,c,cang,1,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,16,32,2,0.019874598,24,26,24295.091,24512.333
cang2,c,cang,2,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,16,32,2,0.019874598,24,26,24295.091,24512.333
cang3,c,cang,3,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,Y,0,32,2,0.019874598,24,26,24295.091,24512.333
cang4,c,cang,4,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,Y,0,32,2,0.019874598,24,26,24295.091,24512.333
cen1,c,cen,1,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,1,1,3,0.000159315,21,21,57838.13,57838.132
cen2,c,cen,2,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,N,0,1,3,0.000159315,21,21,57838.13,57838.132
cen3,c,cen,3,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,Y,0,1,3,0.000159315,21,21,57838.13,57838.132
cen4,c,cen,4,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,Y,0,1,3,0.000159315,21,21,57838.13,57838.132
ceng1,c,ceng,1,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,N,0,154,3,0.085817901,23,23,18746.048,18746.048
ceng2,c,ceng,2,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,154,154,3,0.085817901,23,23,18746.048,18746.048
ceng3,c,ceng,3,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,Y,0,154,3,0.085817901,23,23,18746.048,18746.048
ceng4,c,ceng,4,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,N,0,154,3,0.085817901,23,23,18746.048,18746.048
cong1,c,cong,1,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,24,930,2,0.156434457,18,19,14190.667,13326.229
cong2,c,cong,2,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,906,930,2,0.156434457,18,19,14190.667,13326.229
cong3,c,cong,3,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,N,0,930,2,0.156434457,18,19,14190.667,13326.229
cong4,c,cong,4,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,N,0,930,2,0.156434457,18,19,14190.667,13326.229
chuo1,ch,chuo,1,voiceless,CGV,CGV,CGV,CV/CGV,open,N,N,6,7,2,0.002482665,25,23,903686.804,906991.024
chuo2,ch,chuo,2,voiceless,CGV,CGV,CGV,CV/CGV,open,Y,Y,0,7,2,0.002482665,25,23,903686.804,906991.024
chuo3,ch,chuo,3,voiceless,CGV,CGV,CGV,CV/CGV,open,Y,Y,0,7,2,0.002482665,25,23,903686.804,906991.024
chuo4,ch,chuo,4,voiceless,CGV,CGV,CGV,CV/CGV,open,N,N,1,7,2,0.002482665,25,23,903686.804,906991.024
chui1,ch,chui,1,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,N,N,18,29,2,0.012214182,26,19,97783.1,123096.733
chui2,ch,chui,2,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,N,N,11,29,2,0.012214182,26,19,97783.1,123096.733
chui3,ch,chui,3,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,Y,Y,0,29,2,0.012214182,26,19,97783.1,123096.733
chui4,ch,chui,4,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,Y,N,0,29,2,0.012214182,26,19,97783.1,123096.733
chuan1,ch,chuan,1,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,99,303,0,0.131966265,33,34,26883.25,26286.022
chuan2,ch,chuan,2,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,173,303,0,0.131966265,33,34,26883.25,26286.022
chuan3,ch,chuan,3,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,2,303,0,0.131966265,33,34,26883.25,26286.022
chuan4,ch,chuan,4,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,29,303,0,0.131966265,33,34,26883.25,26286.022
chuang1,ch,chuang,1,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,15,109,0,0.076272253,18,19,24294.135,23791.357
chuang2,ch,chuang,2,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,18,109,0,0.076272253,18,19,24294.135,23791.357
chuang3,ch,chuang,3,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,42,109,0,0.076272253,18,19,24294.135,23791.357
chuang4,ch,chuang,4,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,34,109,0,0.076272253,18,19,24294.135,23791.357
chun1,ch,chun,1,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,52,122,1,0,28,26,56892.579,56947.929
chun2,ch,chun,2,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,66,122,1,0,28,26,56892.579,56947.929
chun3,ch,chun,3,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,4,122,1,0,28,26,56892.579,56947.929
chun4,ch,chun,4,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,Y,Y,0,122,1,0,28,26,56892.579,56947.929
cha1,ch,cha,1,voiceless,CV,CV,CV,CV/CGV,open,N,N,629,219,1,0.142998858,32,31,213015.7,222708.205
cha2,ch,cha,2,voiceless,CV,CV,CV,CV/CGV,open,N,N,236,219,1,0.142998858,32,31,213015.7,222708.205
cha3,ch,cha,3,voiceless,CV,CV,CV,CV/CGV,open,Y,N,0,219,1,0.142998858,32,31,213015.7,222708.205
cha4,ch,cha,4,voiceless,CV,CV,CV,CV/CGV,open,N,N,11,219,1,0.142998858,32,31,213015.7,222708.205
che1,ch,che,1,voiceless,CV,CV,CV,CV/CGV,open,N,N,1508,1531,1,0.104816264,28,22,198752.881,238928.059
che2,ch,che,2,voiceless,CV,CV,CV,CV/CGV,open,Y,Y,0,1531,1,0.104816264,28,22,198752.881,238928.059
che3,ch,che,3,voiceless,CV,CV,CV,CV/CGV,open,N,N,12,1531,1,0.104816264,28,22,198752.881,238928.059
che4,ch,che,4,voiceless,CV,CV,CV,CV/CGV,open,N,N,11,1531,1,0.104816264,28,22,198752.881,238928.059
chi1,ch,chi,1,voiceless,CV,CV,CV,CV/CGV,open,N,N,555,764,0,0,15,12,122094.333,161093.111
chi2,ch,chi,2,voiceless,CV,CV,CV,CV/CGV,open,N,N,156,764,0,0,15,12,122094.333,161093.111
chi3,ch,chi,3,voiceless,CV,CV,CV,CV/CGV,open,N,N,30,764,0,0,15,12,122094.333,161093.111
chi4,ch,chi,4,voiceless,CV,CV,CV,CV/CGV,open,N,N,23,764,0,0,15,12,122094.333,161093.111
chu1,ch,chu,1,voiceless,CV,CV,CV,CV/CGV,open,N,N,1653,2227,0,0.636279199,35,30,65834.813,70209.052
chu2,ch,chu,2,voiceless,CV,CV,CV,CV/CGV,open,N,N,162,2227,0,0.636279199,35,30,65834.813,70209.052
chu3,ch,chu,3,voiceless,CV,CV,CV,CV/CGV,open,N,N,227,2227,0,0.636279199,35,30,65834.813,70209.052
chu4,ch,chu,4,voiceless,CV,CV,CV,CV/CGV,open,N,N,185,2227,0,0.636279199,35,30,65834.813,70209.052
chai1,ch,chai,1,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,22,27,2,0.008775624,26,25,84049.37,72915.333
chai2,ch,chai,2,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,5,27,2,0.008775624,26,25,84049.37,72915.333
chai3,ch,chai,3,voiceless,CV,CVG,CVG,CVG/CGVG,open,Y,N,0,27,2,0.008775624,26,25,84049.37,72915.333
chai4,ch,chai,4,voiceless,CV,CVG,CVG,CVG/CGVG,open,Y,N,0,27,2,0.008775624,26,25,84049.37,72915.333
chao1,ch,chao,1,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,150,269,1,0.076351911,26,26,48917.208,51837.413
chao2,ch,chao,2,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,43,269,1,0.076351911,26,26,48917.208,51837.413
chao3,ch,chao,3,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,76,269,1,0.076351911,26,26,48917.208,51837.413
chao4,ch,chao,4,voiceless,CV,CVG,CVG,CVG/CGVG,open,Y,N,0,269,1,0.076351911,26,26,48917.208,51837.413
chou1,ch,chou,1,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,32,93,0,0.040227141,28,22,143677.707,147476.833
chou2,ch,chou,2,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,30,93,0,0.040227141,28,22,143677.707,147476.833
chou3,ch,chou,3,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,19,93,0,0.040227141,28,22,143677.707,147476.833
chou4,ch,chou,4,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,12,93,0,0.040227141,28,22,143677.707,147476.833
chan1,ch,chan,1,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,6,147,1,0.138113185,33,35,31247.893,30371.074
chan2,ch,chan,2,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,2,147,1,0.138113185,33,35,31247.893,30371.074
chan3,ch,chan,3,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,139,147,1,0.138113185,33,35,31247.893,30371.074
chan4,ch,chan,4,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,N,0,147,1,0.138113185,33,35,31247.893,30371.074
chang1,ch,chang,1,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,112,2037,0,0.507021296,33,34,27800.405,26830.846
chang2,ch,chang,2,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,1334,2037,0,0.507021296,33,34,27800.405,26830.846
chang3,ch,chang,3,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,499,2037,0,0.507021296,33,34,27800.405,26830.846
chang4,ch,chang,4,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,92,2037,0,0.507021296,33,34,27800.405,26830.846
chen1,ch,chen,1,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,N,0,129,2,0.068678218,21,20,75858.824,75980.824
chen2,ch,chen,2,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,117,129,2,0.068678218,21,20,75858.824,75980.824
chen3,ch,chen,3,voiceless,CVN,CVN,CVN,CVN/CGVN,close,Y,N,0,129,2,0.068678218,21,20,75858.824,75980.824
chen4,ch,chen,4,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,12,129,2,0.068678218,21,20,75858.824,75980.824
cheng1,ch,cheng,1,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,31,1363,0,0.583983916,28,27,41833.595,41840.695
cheng2,ch,cheng,2,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,1327,1363,0,0.583983916,28,27,41833.595,41840.695
cheng3,ch,cheng,3,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,1,1363,0,0.583983916,28,27,41833.595,41840.695
cheng4,ch,cheng,4,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,4,1363,0,0.583983916,28,27,41833.595,41840.695
chong1,ch,chong,1,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,89,493,0,0.12684162,18,18,19358.867,18652.188
chong2,ch,chong,2,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,401,493,0,0.12684162,18,18,19358.867,18652.188
chong3,ch,chong,3,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,2,493,0,0.12684162,18,18,19358.867,18652.188
chong4,ch,chong,4,voiceless,CVN,CVN,CVN,CVN/CGVN,close,N,N,1,493,0,0.12684162,18,18,19358.867,18652.188
die1,d,die,1,voiceless,CGV,CGV,CGV,CV/CGV,open,Y,N,0,59,3,0.025649781,26,22,117367.763,122513.562
die2,d,die,2,voiceless,CGV,CGV,CGV,CV/CGV,open,N,N,59,59,3,0.025649781,26,22,117367.763,122513.562
die3,d,die,3,voiceless,CGV,CGV,CGV,CV/CGV,open,Y,Y,0,59,3,0.025649781,26,22,117367.763,122513.562
die4,d,die,4,voiceless,CGV,CGV,CGV,CV/CGV,open,Y,N,0,59,3,0.025649781,26,22,117367.763,122513.562
duo1,d,duo,1,voiceless,CGV,CGV,CGV,CV/CGV,open,N,N,2418,2559,0,0.345302877,27,25,891510.536,886540.2
duo2,d,duo,2,voiceless,CGV,CGV,CGV,CV/CGV,open,N,N,107,2559,0,0.345302877,27,25,891510.536,886540.2
duo3,d,duo,3,voiceless,CGV,CGV,CGV,CV/CGV,open,N,N,25,2559,0,0.345302877,27,25,891510.536,886540.2
duo4,d,duo,4,voiceless,CGV,CGV,CGV,CV/CGV,open,N,N,9,2559,0,0.345302877,27,25,891510.536,886540.2
diao1,d,diao,1,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,N,N,15,375,2,0.089999931,30,23,170123.5,162058.758
diao2,d,diao,2,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,Y,Y,0,375,2,0.089999931,30,23,170123.5,162058.758
diao3,d,diao,3,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,Y,N,0,375,2,0.089999931,30,23,170123.5,162058.758
diao4,d,diao,4,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,N,N,360,375,2,0.089999931,30,23,170123.5,162058.758
diu1,d,diu,1,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,N,N,53,53,3,0.005164475,28,18,206324.151,295143.7
diu2,d,diu,2,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,Y,Y,0,53,3,0.005164475,28,18,206324.151,295143.7
diu3,d,diu,3,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,Y,Y,0,53,3,0.005164475,28,18,206324.151,295143.7
diu4,d,diu,4,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,Y,Y,0,53,3,0.005164475,28,18,206324.151,295143.7
dui1,d,dui,1,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,N,N,80,13558,2,0.433085669,30,22,95365.889,126429.881
dui2,d,dui,2,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,Y,Y,0,13558,2,0.433085669,30,22,95365.889,126429.881
dui3,d,dui,3,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,Y,Y,0,13558,2,0.433085669,30,22,95365.889,126429.881
dui4,d,dui,4,voiceless,CGV,CGVG,CGVG,CVG/CGVG,open,N,N,13478,13558,2,0.433085669,30,22,95365.889,126429.881
dian1,d,dian,1,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,4,2485,1,0.36104855,24,24,31761.875,32700.857
dian2,d,dian,2,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,Y,Y,0,2485,1,0.36104855,24,24,31761.875,32700.857
dian3,d,dian,3,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,1349,2485,1,0.36104855,24,24,31761.875,32700.857
dian4,d,dian,4,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,1132,2485,1,0.36104855,24,24,31761.875,32700.857
ding1,d,ding,1,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,34,928,1,0.243805684,30,27,48005.137,49523.184
ding2,d,ding,2,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,Y,Y,0,928,1,0.243805684,30,27,48005.137,49523.184
ding3,d,ding,3,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,47,928,1,0.243805684,30,27,48005.137,49523.184
ding4,d,ding,4,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,847,928,1,0.243805684,30,27,48005.137,49523.184
duan1,d,duan,1,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,33,618,1,0.119061717,29,28,51903.444,51911.087
duan2,d,duan,2,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,Y,Y,0,618,1,0.119061717,29,28,51903.444,51911.087
duan3,d,duan,3,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,60,618,1,0.119061717,29,28,51903.444,51911.087
duan4,d,duan,4,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,525,618,1,0.119061717,29,28,51903.444,51911.087
dun1,d,dun,1,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,24,66,2,0,24,23,32137.824,24284.688
dun2,d,dun,2,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,Y,Y,0,66,2,0,24,23,32137.824,24284.688
dun3,d,dun,3,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,Y,N,0,66,2,0,24,23,32137.824,24284.688
dun4,d,dun,4,voiceless,CGVN,CGVN,CGVN,CVN/CGVN,close,N,N,42,66,2,0,24,23,32137.824,24284.688
da1,d,da,1,voiceless,CV,CV,CV,CV/CGV,open,N,N,146,4395,0,0.81135356,39,35,293522.385,315730.265
da2,d,da,2,voiceless,CV,CV,CV,CV/CGV,open,N,N,157,4395,0,0.81135356,39,35,293522.385,315730.265
da3,d,da,3,voiceless,CV,CV,CV,CV/CGV,open,N,N,717,4395,0,0.81135356,39,35,293522.385,315730.265
da4,d,da,4,voiceless,CV,CV,CV,CV/CGV,open,N,N,3375,4395,0,0.81135356,39,35,293522.385,315730.265
de1,d,de,1,voiceless,CV,CV,CV,CV/CGV,open,Y,Y,0,844,3,4.377960943,28,23,143047.709,145608.8
de2,d,de,2,voiceless,CV,CV,CV,CV/CGV,open,N,N,844,844,3,4.377960943,28,23,143047.709,145608.8
de3,d,de,3,voiceless,CV,CV,CV,CV/CGV,open,Y,Y,0,844,3,4.377960943,28,23,143047.709,145608.8
de4,d,de,4,voiceless,CV,CV,CV,CV/CGV,open,Y,Y,0,844,3,4.377960943,28,23,143047.709,145608.8
di1,d,di,1,voiceless,CV,CV,CV,CV/CGV,open,N,N,76,2089,0,0.650471547,41,31,413710.475,436176.656
di2,d,di,2,voiceless,CV,CV,CV,CV/CGV,open,N,N,56,2089,0,0.650471547,41,31,413710.475,436176.656
di3,d,di,3,voiceless,CV,CV,CV,CV/CGV,open,N,N,216,2089,0,0.650471547,41,31,413710.475,436176.656
di4,d,di,4,voiceless,CV,CV,CV,CV/CGV,open,N,N,1741,2089,0,0.650471547,41,31,413710.475,436176.656
du1,d,du,1,voiceless,CV,CV,CV,CV/CGV,open,N,N,89,800,0,0.277593827,37,32,170507.238,156721.187
du2,d,du,2,voiceless,CV,CV,CV,CV/CGV,open,N,N,385,800,0,0.277593827,37,32,170507.238,156721.187
du3,d,du,3,voiceless,CV,CV,CV,CV/CGV,open,N,N,45,800,0,0.277593827,37,32,170507.238,156721.187
du4,d,du,4,voiceless,CV,CV,CV,CV/CGV,open,N,N,281,800,0,0.277593827,37,32,170507.238,156721.187
dai1,d,dai,1,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,44,781,1,0.256922653,29,30,168199.375,111019.487
dai2,d,dai,2,voiceless,CV,CVG,CVG,CVG/CGVG,open,Y,Y,0,781,1,0.256922653,29,30,168199.375,111019.487
dai3,d,dai,3,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,17,781,1,0.256922653,29,30,168199.375,111019.487
dai4,d,dai,4,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,720,781,1,0.256922653,29,30,168199.375,111019.487
dao1,d,dao,1,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,15,6772,1,0.750282652,33,34,125554.491,91467.038
dao2,d,dao,2,voiceless,CV,CVG,CVG,CVG/CGVG,open,Y,N,0,6772,1,0.750282652,33,34,125554.491,91467.038
dao3,d,dao,3,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,260,6772,1,0.750282652,33,34,125554.491,91467.038
dao4,d,dao,4,voiceless,CV,CVG,CVG,CVG/CGVG,open,N,N,6497,6772,1,0.750282652,33,34,125554.491,91467.038
