LanguageName,InventoryID,ISO6393,Glottocode,Source,name,isocodes,level,macroarea,latitude,longitude,SegmentN
Akoose,1554,bss,akoo1248,gm,Akoose,bss,language,Africa,4.9243,9.65522,32
Akpes,1532,ibe,akpe1248,gm,Akpes,ibe,language,Africa,7.50256,5.95559,34
Akuntsú,2069,aqz,akun1241,saphon,Akuntsu,aqz,language,South America,-12.8322,-60.9716,22
Akurio,1862,ako,akur1238,saphon,Akurio,ako,language,South America,3.19607,-55.6294,24
Alaaba,1451,alw,alab1254,gm,Alaba-K'abeena,alw,language,Africa,7.39014,38.1732,62
Alabama,79,akz,alab1237,spa,Alabama,akz,language,North America,30.76738,-94.62848,21
ALABAMA,210,akz,alab1237,upsid,Alabama,akz,language,North America,30.76738,-94.62848,17
Alacalufe,2144,alc,qawa1238,saphon,Qawasqar,alc,language,South America,-49.303195,-74.707536,24
ALAMBLAK,221,amp,alam1246,upsid,Alamblak,amp,language,Papunesia,-4.66307,143.316,25
Alawa,50,alh,alaw1244,spa,Alawa,alh,language,Australia,-15.5458,134.282,54
Alawa,2681,alh,alaw1244,er,Alawa,alh,language,Australia,-15.5458,134.282,54
ALAWA,214,alh,alaw1244,upsid,Alawa,alh,language,Australia,-15.5458,134.282,26
Albanian,169,als,tosk1239,spa,Northern Tosk Albanian,als,language,Eurasia,41,20,35
ALBANIAN,215,als,tosk1239,upsid,Northern Tosk Albanian,als,language,Eurasia,41,20,35
Aleut,61,ale,aleu1260,spa,Aleut,ale,language,North America,52.1228,-174.29,36
ALEUT,213,ale,aleu1260,upsid,Aleut,ale,language,North America,52.1228,-174.29,27
Alladian,1529,ald,alla1248,gm,Alladian,ald,language,Africa,5.22371,-4.42647,36
ALLADIAN,212,ald,alla1248,upsid,Alladian,ald,language,Africa,5.22371,-4.42647,36
Alngith,2908,aid,alng1239,er,Alngith,aid,language,Australia,-12.5324,141.938,28
Alutor,2412,alr,alut1245,ea,Alutor,alr,language,Eurasia,60.3844,165.653,27
Alyawarr,2702,aly,alya1239,er,Alyawarr,aly,language,Australia,-21.0427,136.835,43
Alyawarra,1163,aly,alya1239,ph,Alyawarr,aly,language,Australia,-21.0427,136.835,32
Amahuaca,120,amc,amah1246,spa,Amahuaca,amc,language,South America,-10.2012,-72.3208,45
Amahuaca,1998,amc,amah1246,saphon,Amahuaca,amc,language,South America,-10.2012,-72.3208,45
AMAHUACA,216,amc,amah1246,upsid,Amahuaca,amc,language,South America,-10.2012,-72.3208,22
Amanab,1164,amn,aman1265,ph,Amanab,amn,language,Papunesia,-3.51516,141.178,19
Amarakaeri,1920,amr,amar1274,saphon,Amarakaeri,amr,language,South America,-12.4931,-70.5533,33
Ambele,1091,ael,ambe1247,ph,Ambele,ael,language,Africa,5.94043,9.62028,51
Ambon Malay,1684,abs,ambo1250,gm,Ambonese Malay,abs,language,Papunesia,-3.71342,128.184,23
AMELE,202,aey,amel1241,upsid,Amele,aey,language,Papunesia,-5.29126,145.687,20
American English,2176,eng,stan1293,uz,English,eng,language,Eurasia,53,-1,39
Amharic,131,amh,amha1245,spa,Amharic,amh,language,Africa,11.708182,39.543456,127
Amharic,2156,amh,amha1245,uz,Amharic,amh,language,Africa,11.708182,39.543456,127
AMHARIC,219,amh,amha1245,upsid,Amharic,amh,language,Africa,11.708182,39.543456,37
AMO,220,amo,amoo1242,upsid,Amo,amo,language,Africa,10.3229,8.65405,35
Amuesha,112,ame,yane1238,spa,Yanesha',ame,language,South America,-10.5454,-75.315,29
AMUESHA,217,ame,yane1238,upsid,Yanesha',ame,language,South America,-10.5454,-75.315,26
Amundava,2070,adw,amun1246,saphon,Amundava,adw,language,South America,-9.04023,-62.3064,26
Amurdak,2666,amg,amar1271,er,Amurdak,amg,language,Australia,-11.9876,132.878,24
AMUZGO,222,amu,guer1243,upsid,Guerrero Amuzgo,amu,language,North America,16.77226,-98.18953,37
Ancash Quechua,2021,qwa,coro1247,saphon,Corongo Ancash Quechua,qwa,language,South America,-8.57647,-77.9864,24
Andamanese,1702,apq,apuc1241,ra,Apucikwar,apq,language,Eurasia,12.241,92.7965,35
ANDAMANESE,227,apq,apuc1241,upsid,Apucikwar,apq,language,Eurasia,12.241,92.7965,24
Andi,2465,ani,andi1255,ea,Andi,ani,language,Eurasia,42.8078,46.2919,68
Andoa,2138,anb,ando1255,saphon,Andoa,anb,language,South America,-3.29664,-76.6056,25
Andoke,1922,ano,ando1256,saphon,Andoque,ano,language,South America,-0.53751,-72.0869,35
ANDOKE,224,ano,ando1256,upsid,Andoque,ano,language,South America,-0.53751,-72.0869,26
Aneityum; Anejom̃,1228,aty,anei1239,ph,Aneityum,aty,language,Papunesia,-20.1864,169.825,26
Anfillo,1661,myo,anfi1235,gm,Anfillo,myo,language,Africa,8.568,34.647,48
ANGAATIHA,203,agm,anga1290,upsid,Angaataha,agm,language,Papunesia,-7.15012,146.352,21
Angami,1703,njm,anga1288,ra,Angami Naga,njm,language,Eurasia,25.6841,93.8668,49
Angas,125,anc,ngas1240,spa,Ngas,anc,language,Africa,9.32042,9.46146,80
Angas,657,anc,ngas1240,aa,Ngas,anc,language,Africa,9.32042,9.46146,80
ANGAS,223,anc,ngas1240,upsid,Ngas,anc,language,Africa,9.32042,9.46146,43
Angkamuthi,2918,avm,angg1238,er,Angkamuthi,avm,language,Australia,-11.443,142.242,24
Angolar,1551,aoa,ango1258,gm,Angolar,aoa,language,Africa,0.11438,6.59486,36
Anguthimri,2884,awg,angu1242,er,Anguthimri,awg,language,Australia,-12.395,141.755,36
Anii,1658,blo,anii1245,gm,Anii,blo,language,Africa,9.11127,1.60169,36
Anindilyakwa,2651,aoi,anin1240,er,Anindilyakwa,aoi,language,Australia,-13.99904,136.6415,26
Antakirinya,2958,ant,anta1253,er,Antakarinya,ant,language,Australia,-27.1152,134.838,23
Antekerrepenhe,2705,adg,ande1247,er,Andegerebinha,adg,language,Australia,-22.51278,137.3515,44
Antiguan Creole,1094,aig,anti1245,ph,Antigua and Barbuda Creole English,aig,language,North America,17.068263,-61.821863,37
anufɔ,1246,cko,anuf1239,gm,Anufo,cko,language,Africa,10.2839,0.56021,59
Anufɔ,658,cko,anuf1239,aa,Anufo,cko,language,Africa,10.2839,0.56021,43
Anyi,1298,any,anyi1245,gm,Anyin,any,language,Africa,6.31781,-3.30532,39
Anyi Sanvi,1242,any,anyi1245,gm,Anyin,any,language,Africa,6.31781,-3.30532,40
Anywa,1165,anu,anua1242,ph,Anuak,anu,language,Africa,7.57714,34.0267,47
AO,497,njo,aona1235,upsid,Ao Naga,njo,language,Eurasia,26.3241,94.3824,20
Ao-Naga,1704,njo,aona1235,ra,Ao Naga,njo,language,Eurasia,26.3241,94.3824,35
Apalaí,1863,apy,apal1257,saphon,Apalaí,apy,language,South America,1.49792,-54.7457,24
Apatani,1705,apt,apat1240,ra,Apatani,apt,language,Eurasia,27.1933,93.7284,40
