ItemID,Participant,Block,TrialOrder,Response,RT,Session,Item_Pinyin,ASCII
27,2,2,233,1,1807,1,ci3,Ci3
27,8,7,1060,1,797,1,ci3,Ci3
27,1,2,257,0,1036,1,ci3,Ci3
27,20,7,1081,1,157,1,ci3,Ci3
28,8,2,200,0,1490,1,puang4,PuaN4
28,1,2,301,0,1965,1,puang4,PuaN4
28,20,6,943,1,13,1,puang4,PuaN4
28,22,2,186,1,2543,1,puang4,PuaN4
28,2,10,1470,0,759,1,puang4,PuaN4
29,20,9,1303,1,82,1,din1,tin1
29,2,4,494,0,1866,1,din1,tin1
29,8,2,249,1,1317,1,din1,tin1
29,1,4,548,1,1364,1,din1,tin1
29,22,8,1215,1,1171,1,din1,tin1
30,2,8,1195,0,794,1,tuai2,Tuai2
30,1,5,685,0,1124,1,tuai2,Tuai2
30,8,10,1493,1,868,1,tuai2,Tuai2
30,22,7,1019,0,2090,1,tuai2,Tuai2
30,20,8,1133,1,94,1,tuai2,Tuai2
31,1,7,1038,1,1211,1,ne2,n^2
31,8,8,1132,1,1446,1,ne2,n^2
31,20,10,1596,1,225,1,ne2,n^2
31,22,2,231,0,1504,1,ne2,n^2
31,2,6,819,0,675,1,ne2,n^2
32,2,1,139,1,1071,1,jie1,ji^1
32,8,5,767,0,1168,1,jie1,ji^1
32,22,10,1511,0,753,1,jie1,ji^1
32,20,10,1582,1,236,1,jie1,ji^1
32,1,6,838,0,514,1,jie1,ji^1
33,2,4,530,0,746,1,fve2,fye2
33,22,5,693,0,2848,1,fve2,fye2
33,20,10,1455,1,46,1,fve2,fye2
33,8,5,648,0,825,1,fve2,fye2
33,1,8,1141,0,554,1,fve2,fye2
34,1,6,852,0,595,1,zhiu2,Ziou2
34,2,6,922,0,518,1,zhiu2,Ziou2
34,8,9,1286,0,675,1,zhiu2,Ziou2
34,20,5,713,1,11,1,zhiu2,Ziou2
34,22,10,1537,1,2362,1,zhiu2,Ziou2
35,8,9,1368,0,317,1,quang1,quaN1
35,22,5,791,0,2198,1,quang1,quaN1
35,1,7,1064,0,1252,1,quang1,quaN1
35,20,2,229,1,267,1,quang1,quaN1
35,2,1,156,1,2160,1,quang1,quaN1
36,1,9,1397,0,1087,1,quang2,quaN2
36,2,10,1526,0,817,1,quang2,quaN2
36,8,1,10,1,2487,1,quang2,quaN2
36,20,9,1385,1,147,1,quang2,quaN2
36,22,10,1447,0,652,1,quang2,quaN2
37,20,4,550,1,283,1,qe4,q^4
37,1,7,964,0,857,1,qe4,q^4
37,2,9,1314,0,820,1,qe4,q^4
37,22,10,1450,0,609,1,qe4,q^4
37,8,8,1147,0,763,1,qe4,q^4
38,8,10,1452,1,871,1,diao2,tiau2
38,1,7,1084,0,965,1,diao2,tiau2
38,22,1,62,1,2657,1,diao2,tiau2
38,20,1,112,1,347,1,diao2,tiau2
38,2,2,211,0,1765,1,diao2,tiau2
39,8,8,1154,0,616,1,hvang3,hyaN3
39,1,6,818,0,553,1,hvang3,hyaN3
39,2,1,38,0,2177,1,hvang3,hyaN3
39,20,4,508,1,1845,1,hvang3,hyaN3
39,22,1,81,0,1554,1,hvang3,hyaN3
40,1,6,842,0,524,1,sv4,sy4
40,22,1,8,1,1635,1,sv4,sy4
40,8,10,1536,0,728,1,sv4,sy4
40,20,1,118,1,144,1,sv4,sy4
40,2,9,1345,0,1490,1,sv4,sy4
41,20,2,202,1,60,1,svang3,syaN3
41,2,5,671,0,889,1,svang3,syaN3
41,1,5,713,0,737,1,svang3,syaN3
41,8,4,573,1,1978,1,svang3,syaN3
41,22,8,1193,0,715,1,svang3,syaN3
42,2,2,212,0,2711,1,riao3,riau3
42,1,4,519,0,1257,1,riao3,riau3
